70 139
1 41 1
1 61 1
2 54 1
2 10 1
3 61 1
3 39 1
4 8 1
4 22 1
5 61 1
5 28 1
6 37 1
6 68 1
7 17 1
7 35 1
8 23 1
8 20 1
9 20 1
9 43 1
10 36 1
10 20 1
11 47 1
11 22 1
12 48 1
12 38 1
13 39 1
13 2 1
14 4 1
14 55 1
15 10 1
15 63 1
16 10 1
16 26 1
17 7 1
17 12 1
18 55 1
18 36 1
19 65 1
19 27 1
20 8 1
20 63 1
21 35 1
21 38 1
22 41 1
22 34 1
23 40 1
23 13 1
24 48 1
24 52 1
25 28 1
25 58 1
26 65 1
26 30 1
27 42 1
27 12 1
28 10 1
28 37 1
29 4 1
29 10 1
30 56 1
30 42 1
31 29 1
31 28 1
32 50 1
32 43 1
33 1 1
33 54 1
34 50 1
34 68 1
35 36 1
35 43 1
36 9 1
36 53 1
37 66 1
37 43 1
38 16 1
38 58 1
39 62 1
39 28 1
40 7 1
40 48 1
41 54 1
41 32 1
42 39 1
43 20 1
43 49 1
44 65 1
44 6 1
45 53 1
45 67 1
46 42 1
46 66 1
47 9 1
47 55 1
48 34 1
48 62 1
49 63 1
49 7 1
50 62 1
50 5 1
51 57 1
51 62 1
52 68 1
52 49 1
53 28 1
53 36 1
54 36 1
54 4 1
55 62 1
55 30 1
56 19 1
56 15 1
57 46 1
57 60 1
58 46 1
58 35 1
59 42 1
59 62 1
60 20 1
60 1 1
61 32 1
61 8 1
62 57 1
62 29 1
63 64 1
63 59 1
64 16 1
64 13 1
65 68 1
65 56 1
66 59 1
66 64 1
67 42 1
67 4 1
68 24 1
68 49 1
69 37 1
69 49 1
70 9 1
70 60 1
