50 70
1 26 1
2 47 1
3 23 1
4 31 1
4 40 1
5 45 1
6 26 1
7 43 1
7 29 1
8 49 1
8 37 1
9 48 1
10 46 1
11 43 1
11 24 1
12 8 1
12 22 1
13 2 1
14 13 1
15 26 1
15 34 1
16 44 1
16 3 1
17 36 1
18 26 1
19 29 1
19 12 1
20 14 1
20 41 1
21 31 1
21 17 1
22 34 1
23 38 1
24 45 1
25 4 1
25 18 1
26 40 1
26 12 1
27 49 1
27 21 1
28 48 1
28 49 1
29 31 1
29 18 1
30 16 1
31 27 1
32 8 1
33 14 1
34 7 1
34 12 1
35 4 1
36 28 1
37 46 1
37 24 1
38 25 1
39 19 1
39 3 1
40 47 1
41 28 1
41 47 1
42 45 1
43 44 1
44 12 1
45 15 1
46 24 1
46 3 1
48 31 1
49 34 1
50 34 1
50 22 1
