100 154
1 50 1
1 31 1
2 93 1
3 99 1
3 37 1
4 48 1
5 63 1
5 4 1
6 87 1
6 71 1
7 46 1
8 69 1
8 36 1
9 47 1
9 44 1
10 33 1
11 12 1
11 25 1
12 84 1
12 77 1
13 67 1
13 7 1
14 35 1
15 64 1
15 87 1
16 8 1
17 79 1
17 78 1
18 61 1
19 45 1
20 23 1
20 27 1
21 88 1
22 15 1
23 17 1
24 53 1
24 92 1
25 72 1
25 2 1
26 36 1
26 33 1
27 83 1
28 45 1
28 34 1
29 56 1
30 7 1
30 31 1
31 51 1
32 6 1
32 91 1
33 76 1
34 1 1
34 40 1
35 33 1
36 91 1
36 92 1
37 34 1
38 77 1
39 49 1
39 69 1
40 54 1
41 4 1
41 15 1
42 70 1
42 44 1
43 19 1
44 4 1
45 94 1
45 40 1
46 31 1
47 26 1
48 92 1
48 62 1
49 72 1
50 35 1
50 36 1
51 84 1
51 10 1
52 88 1
52 40 1
53 77 1
53 26 1
54 9 1
54 51 1
55 4 1
56 81 1
57 30 1
58 96 1
58 36 1
59 37 1
59 29 1
60 65 1
60 55 1
61 22 1
62 92 1
62 59 1
63 96 1
64 96 1
65 37 1
66 11 1
67 1 1
67 58 1
68 44 1
68 37 1
69 22 1
69 74 1
70 19 1
71 16 1
71 34 1
72 46 1
73 76 1
73 69 1
74 7 1
75 38 1
75 70 1
76 92 1
77 11 1
77 48 1
78 33 1
78 9 1
79 74 1
79 77 1
80 89 1
81 14 1
81 2 1
82 81 1
83 91 1
84 50 1
85 51 1
86 76 1
86 10 1
87 42 1
87 74 1
88 55 1
88 36 1
89 59 1
90 7 1
90 72 1
91 64 1
92 23 1
93 2 1
93 52 1
94 3 1
94 15 1
95 53 1
95 30 1
96 45 1
97 76 1
98 95 1
98 90 1
99 79 1
99 49 1
100 18 1
100 45 1
