200 509
1 45 1
1 81 1
2 11 1
3 100 1
3 163 1
4 146 1
4 125 1
4 111 1
5 188 1
5 162 1
6 141 1
7 162 1
7 94 1
7 108 1
8 161 1
8 113 1
8 59 1
8 91 1
9 53 1
10 99 1
11 96 1
11 187 1
12 175 1
12 171 1
13 124 1
13 179 1
13 180 1
14 118 1
14 87 1
14 4 1
14 16 1
15 125 1
15 145 1
15 145 1
15 142 1
16 154 1
16 93 1
17 143 1
17 59 1
17 186 1
18 29 1
18 92 1
18 83 1
18 66 1
19 58 1
19 10 1
19 95 1
19 139 1
20 10 1
21 109 1
21 103 1
21 52 1
21 176 1
22 159 1
22 74 1
23 141 1
23 32 1
24 113 1
24 5 1
25 101 1
25 43 1
25 42 1
26 7 1
27 138 1
28 123 1
28 21 1
28 24 1
29 122 1
29 34 1
29 186 1
29 22 1
30 185 1
30 133 1
30 87 1
30 110 1
31 174 1
31 131 1
32 30 1
33 178 1
34 146 1
34 196 1
34 67 1
35 185 1
35 70 1
35 88 1
35 117 1
36 172 1
36 62 1
36 74 1
36 83 1
37 105 1
37 147 1
37 140 1
37 113 1
38 105 1
38 116 1
38 91 1
38 158 1
39 92 1
40 175 1
41 166 1
41 71 1
41 174 1
41 50 1
42 163 1
42 96 1
42 133 1
42 68 1
43 10 1
44 2 1
44 17 1
44 163 1
45 181 1
45 165 1
45 78 1
46 92 1
46 147 1
47 25 1
48 169 1
48 67 1
48 7 1
49 48 1
49 48 1
49 42 1
50 167 1
51 186 1
51 24 1
52 168 1
52 55 1
52 82 1
53 142 1
53 62 1
53 31 1
54 141 1
54 15 1
55 28 1
55 138 1
56 106 1
56 134 1
56 37 1
56 55 1
57 53 1
57 96 1
57 52 1
58 134 1
58 186 1
58 164 1
59 105 1
60 163 1
60 47 1
60 174 1
60 136 1
61 95 1
62 93 1
62 60 1
63 83 1
63 143 1
63 61 1
64 66 1
65 179 1
65 151 1
65 184 1
66 30 1
66 179 1
67 165 1
67 91 1
67 139 1
68 140 1
68 175 1
68 90 1
68 170 1
69 33 1
69 50 1
69 94 1
69 147 1
70 137 1
70 90 1
70 199 1
70 164 1
71 21 1
72 142 1
73 129 1
73 79 1
73 35 1
73 188 1
74 181 1
74 81 1
74 115 1
74 37 1
75 136 1
76 195 1
76 147 1
76 21 1
76 51 1
77 153 1
78 66 1
78 129 1
79 188 1
79 183 1
79 157 1
80 189 1
80 155 1
80 114 1
81 42 1
81 168 1
82 50 1
82 198 1
82 185 1
83 114 1
83 175 1
83 191 1
83 181 1
84 91 1
85 35 1
85 11 1
85 3 1
85 15 1
86 68 1
86 77 1
86 124 1
86 121 1
87 48 1
87 100 1
87 186 1
88 114 1
88 78 1
88 155 1
89 22 1
90 149 1
90 118 1
91 81 1
91 103 1
91 104 1
92 35 1
92 82 1
93 165 1
93 12 1
93 50 1
93 151 1
94 180 1
94 91 1
95 93 1
95 173 1
95 130 1
95 66 1
96 52 1
97 22 1
97 132 1
97 164 1
97 144 1
98 173 1
98 38 1
98 178 1
99 197 1
100 11 1
101 38 1
101 172 1
101 6 1
102 103 1
102 152 1
103 51 1
103 190 1
103 96 1
103 92 1
104 144 1
105 171 1
106 8 1
107 50 1
107 120 1
107 65 1
107 199 1
108 145 1
108 1 1
109 96 1
109 122 1
110 81 1
111 146 1
111 181 1
112 62 1
112 122 1
112 183 1
112 175 1
113 168 1
114 121 1
115 52 1
115 16 1
115 21 1
116 108 1
116 149 1
116 165 1
117 116 1
117 170 1
117 100 1
118 156 1
119 110 1
120 178 1
120 62 1
120 6 1
121 132 1
121 13 1
121 176 1
122 48 1
122 57 1
122 185 1
122 137 1
123 35 1
123 32 1
124 43 1
124 76 1
124 47 1
125 45 1
125 128 1
125 80 1
126 72 1
126 152 1
126 56 1
127 174 1
127 7 1
127 35 1
127 70 1
128 137 1
129 156 1
129 103 1
129 144 1
129 72 1
130 32 1
130 111 1
131 53 1
131 118 1
131 143 1
131 34 1
132 85 1
132 188 1
132 98 1
133 95 1
133 73 1
134 58 1
135 3 1
135 191 1
135 166 1
135 31 1
136 60 1
137 22 1
138 113 1
138 33 1
139 66 1
139 169 1
140 10 1
140 72 1
141 199 1
141 139 1
142 35 1
142 17 1
142 171 1
143 136 1
143 49 1
143 191 1
143 28 1
144 58 1
144 66 1
144 13 1
145 89 1
145 121 1
145 41 1
145 194 1
146 30 1
146 183 1
146 145 1
146 199 1
147 63 1
147 28 1
147 77 1
147 80 1
148 146 1
148 13 1
149 12 1
149 81 1
149 145 1
149 82 1
150 23 1
150 176 1
151 71 1
151 58 1
152 166 1
152 42 1
153 110 1
153 125 1
154 24 1
154 160 1
155 159 1
156 68 1
156 131 1
156 189 1
157 181 1
157 71 1
157 155 1
158 7 1
158 28 1
158 180 1
159 183 1
159 110 1
159 182 1
160 104 1
160 47 1
161 109 1
161 67 1
162 123 1
162 119 1
162 102 1
163 63 1
163 26 1
164 1 1
164 137 1
164 78 1
165 110 1
165 177 1
165 80 1
165 6 1
166 18 1
166 43 1
166 169 1
166 167 1
167 187 1
167 45 1
167 39 1
167 33 1
168 12 1
168 94 1
169 40 1
169 37 1
170 98 1
170 47 1
170 30 1
170 74 1
171 145 1
172 155 1
172 79 1
172 195 1
172 83 1
173 40 1
173 87 1
173 189 1
174 24 1
174 147 1
174 77 1
175 182 1
175 33 1
175 156 1
175 3 1
176 190 1
177 75 1
177 85 1
177 190 1
178 137 1
178 198 1
179 77 1
179 177 1
179 78 1
180 121 1
180 134 1
180 80 1
180 28 1
181 123 1
182 68 1
182 2 1
182 23 1
182 40 1
183 21 1
184 154 1
185 6 1
186 179 1
186 136 1
186 157 1
186 86 1
187 114 1
187 68 1
187 69 1
187 125 1
188 138 1
188 118 1
188 64 1
189 83 1
190 62 1
190 162 1
190 35 1
190 75 1
191 65 1
191 86 1
192 167 1
193 117 1
193 34 1
193 191 1
194 179 1
194 33 1
195 65 1
195 189 1
195 124 1
196 67 1
196 149 1
197 61 1
197 169 1
197 141 1
198 28 1
198 191 1
198 140 1
198 89 1
199 175 1
199 154 1
200 146 1
