30 78
1 5 1
2 29 1
2 22 1
2 19 1
3 24 1
4 29 1
4 8 1
5 16 1
5 22 1
5 9 1
6 24 1
6 1 1
7 22 1
7 25 1
7 28 1
8 13 1
9 26 1
9 8 1
10 23 1
10 6 1
10 14 1
10 26 1
11 2 1
12 16 1
12 19 1
12 6 1
12 17 1
13 4 1
13 16 1
13 28 1
14 18 1
15 18 1
15 3 1
15 7 1
15 29 1
16 21 1
16 29 1
16 15 1
16 28 1
17 28 1
18 2 1
18 15 1
18 7 1
19 9 1
19 4 1
20 25 1
21 25 1
21 19 1
21 24 1
21 6 1
22 14 1
22 13 1
22 24 1
23 5 1
23 16 1
23 18 1
24 8 1
24 1 1
24 9 1
24 9 1
25 20 1
25 28 1
26 27 1
26 9 1
26 12 1
27 28 1
27 9 1
27 12 1
28 13 1
28 16 1
28 19 1
28 12 1
29 24 1
29 22 1
29 5 1
29 14 1
30 8 1
30 19 1
